titre;categorie;lieux_extraits;date;url
Trafic de drogues | 35 ans de prison pour un dealer arrêté à la Marsa;1;Tunis, Marsa, La Marsa;09/03/2026;https://kapitalis.com/tunisie/2026/03/09/trafic-de-drogues-35-ans-de-prison-pour-un-dealer-arrete-a-la-marsa/
Un réseau de trafic de drogue démantelé à Kairouan;1;Cherarda, Kairouan;25/02/2026;https://kapitalis.com/tunisie/2026/02/25/un-reseau-de-trafic-de-drogue-demantele-a-kairouan/
Tunis | Un dealer et son père condamnés pour trafic de drogue;1;Tunis, Douar, argent|dealer|Douar;19/02/2026;https://kapitalis.com/tunisie/2026/02/19/tunis-un-dealer-et-son-pere-condamnes-pour-trafic-de-drogue/
Sousse | Garde-à-vue pour 3 trafiquants de cannabis;1;Sousse, Sousse-Ville, Garde-à-vue;19/02/2026;https://kapitalis.com/tunisie/2026/02/19/sousse-garde-a-vue-pour-3-trafiquants-de-cannabis/
Trafic de drogue et blanchiment d’argent | Deux réseaux démantelés;1;;17/02/2026;https://kapitalis.com/tunisie/2026/02/17/trafic-de-drogue-et-blanchiment-dargent-deux-reseaux-demanteles/
Viol d’enfant à Ennasr | Information judiciaire contre 4 suspects;4;Ennasr 2, Femme, Ennasr, Tunis;16/02/2026;https://kapitalis.com/tunisie/2026/02/16/viol-denfant-a-ennasr-information-judiciaire-contre-4-suspects/
Ariana | Du nouveau dans l’affaire d’abus sexuels dans dans une maternelle;4;Femme, Ariana, Ennasr, Enfance;13/02/2026;https://kapitalis.com/tunisie/2026/02/13/ariana-du-nouveau-dans-laffaire-dabus-sexuels-dans-dans-une-maternelle/
Ariana | Enquête sur des soupçons d’abus sexuels dans dans une maternelle;4;Tunis, Femme, Ariana, Mosaïque FM;12/02/2026;https://kapitalis.com/tunisie/2026/02/12/ariana-enquete-sur-des-soupcons-dabus-sexuels-dans-dans-une-maternelle/
Du nouveau dans l’affaire du braquage à l’arme blanche à la Soukra (DGSN);3;Subsaharienne, véidéo, Parquet de l’Ariana, Soukra;12/02/2026;https://kapitalis.com/tunisie/2026/02/12/du-nouveau-dans-laffaire-du-braquage-a-larme-blanche-a-la-soukra-dgsn/
Plus de 5 kg de cocaïne saisis par la douane à Ras Jedir;1;Ras Jedir cocaïne|Douane|Ras, Ras Jedir;09/02/2026;https://kapitalis.com/tunisie/2026/02/09/plus-de-5-kg-de-cocaine-saisis-par-la-douane-a-ras-jedir/
Élève tué dans un lycée à Monastir | Deux mineurs arrêtés;2;Monastir;09/02/2026;https://kapitalis.com/tunisie/2026/02/09/eleve-tue-dans-un-lycee-a-monastir-deux-mineurs-arretes/
Trafic de drogue à Hammamet | Réseau démantelé, un dealer et sa mère arrêtés;1;Grombalia, Hammamet, Kélibia;05/02/2026;https://kapitalis.com/tunisie/2026/02/05/trafic-de-drogue-a-hammamet-reseau-demantele-un-dealer-et-sa-mere-arretes/
Un homme de 70 ans tué à coups de couteau à Kerkennah;2;Kerkennah, Sfax, Diwan FM, île de Kerkennah;04/02/2026;https://kapitalis.com/tunisie/2026/02/04/un-homme-de-70-ans-tue-a-coups-de-couteau-a-kerkennah/
Siliana | Il tue son frère à cause d’un tatouage;2;Siliana;04/02/2026;https://kapitalis.com/tunisie/2026/02/04/siliana-il-tue-son-frere-a-cause-dun-tatouage/
Drame à Gaâfour | Un jeune tue son frère pour une histoire de… tatouage !;2;Siliana, Gaâfour, Mosaïque FM, procureur de la République;03/02/2026;https://kapitalis.com/tunisie/2026/02/03/drame-a-gaafour-un-jeune-tue-son-frere-pour-une-histoire-de-tatouage/
Un homme âgé tué à l’Ariana | Le suspect arrêté;2;Ariana, Ariana Nord, Ennakhilet, Tunis|tueur|Tunisie;02/02/2026;https://kapitalis.com/tunisie/2026/02/02/un-homme-age-tue-a-lariana-le-suspect-arrete/
Un réseau de trafic de cannabis démantelé à Tajerouine;1;Kef, Mosaïque FM, Tajerouine;31/01/2026;https://kapitalis.com/tunisie/2026/01/31/un-reseau-de-trafic-de-cannabis-demantele-a-tajerouine/
Vernon | Un Tunisien tué devant le foyer de demandeurs d’asile à Vernon;2;France, Eure, Eure|meurtre|Tunisie|Tunisien|Vernon, Tunisien, Vernon;29/01/2026;https://kapitalis.com/tunisie/2026/01/29/vernon-un-tunisien-tue-devant-le-foyer-de-demandeurs-dasile-a-vernon/
Trafic de drogue et blanchiment d’argent | Les peines prononcées;1;Tunis, La Goulette, Mosaïque FM, Tunisie, Europe;28/01/2026;https://kapitalis.com/tunisie/2026/01/28/trafic-de-drogue-et-blanchiment-dargent-les-peines-prononcees/
Tunis | Une femme condamnée à 18 ans de prison pour trafic de drogues;1;Tunis, aéroport international de Tunis-Carthage, drogue|Tunis|Tunis-Carthage|Tunisie, Mosaïque FM;24/01/2026;https://kapitalis.com/tunisie/2026/01/24/tunis-une-femme-condamnee-a-18-ans-de-prison-pour-trafic-de-drogues/
Tunis | Braquage au bureau de poste de Oued Ellil;3;Tunis, El-Menzah, procureur de la République;21/01/2026;https://kapitalis.com/tunisie/2026/01/21/tunis-braquage-au-bureau-de-poste-de-oued-ellil/
Tunis | Meurtre au Jardin Habib Thameur;2;Tunis, Jardin Habib Thameur, Le Passage, Jardin Habib;19/01/2026;https://kapitalis.com/tunisie/2026/01/19/tunis-meurtre-au-jardin-habib-thameur/
Corps retrouvé dans le canal Medjerda | Un 2e suspect arrêté;2;canal Medjerda, canal de Medjerda;15/01/2026;https://kapitalis.com/tunisie/2026/01/15/corps-retrouve-dans-le-canal-medjerda-un-2e-suspect-arrete/
Mules transportant de l’héroïne | Des peines allant jusqu’à 20 ans de prison;1;Tunis, aéroport de Tunis-Carthage, Europe;15/01/2026;https://kapitalis.com/tunisie/2026/01/15/mules-transportant-de-lheroine-des-peines-allant-jusqua-20-ans-de-prison/
Trafic de cocaïne | Sept dealers, dont deux femmes, arrêtés à Gafsa;1;Gafsa;15/01/2026;https://kapitalis.com/tunisie/2026/01/15/trafic-de-cocaine-sept-dealers-dont-deux-femmes-arretes-a-gafsa/
Un réseau de trafic de psychotropes démantelé à Gafsa;1;Mdhilla, El Ksour, Gafsa;10/01/2026;https://kapitalis.com/tunisie/2026/01/10/un-reseau-de-trafic-de-psychotropes-demantele-a-gafsa/
Menzel Bourguiba | Meurtre d’une femme et suicide du meurtrier;2;Bizerte, rapportéMosaïque FM, Menzel Bourguiba;05/01/2026;https://kapitalis.com/tunisie/2026/01/05/menzel-bourguiba-meurtre-dune-femme-et-suicide-du-meurtrier/
Arrêtée à Tunis | Une femme droguait des hommes et les faisait chanter;2;Tunis, Bab Souika;03/01/2026;https://kapitalis.com/tunisie/2026/01/03/arretee-a-tunis-une-femme-droguait-des-hommes-et-les-faisait-chanter/
Meurtre à Radès | Le voisin placé en détention;2;Tunis, France, Tunisie, Arous|crime|meurtre|Radès|Tunisie, Radès;02/01/2026;https://kapitalis.com/tunisie/2026/01/02/meurtre-a-rades-le-voisin-place-en-detention/
Trafic de cocaïne & réseau international | De lourdes peines contre 10 étrangers;1;Tunis, aéroport de Tunis-Carthage;30/12/2025;https://kapitalis.com/tunisie/2025/12/30/trafic-de-cocaine-reseau-international-de-lourdes-peines-contre-10-etrangers/
Saisie 330.000 comprimés de stupéfiants à Kasserine;1;Kasserine, Prégabaline;25/12/2025;https://kapitalis.com/tunisie/2025/12/25/saisie-330-000-comprimes-de-stupefiants-a-kasserine/
Douane | Saisie d’importantes quantités de drogues durant novembre & décembre;1;port de la Goulette, Bouchebka, Skhira, Tunisie, Italie, Djerba-Zarzis, Dehiba, Ras Jedir, Gênes;24/12/2025;https://kapitalis.com/tunisie/2025/12/24/douane-saisie-dimportantes-quantites-de-drogues-durant-novembre-decembre/
Tunis | Un réseau de «mules» démantelé, 627 capsules de cocaïne saisies;1;Tunis, aéroport Tunis-Carthage, aéroport Tunis, Afrique subsaharienne, Tunisiens;23/12/2025;https://kapitalis.com/tunisie/2025/12/23/tunis-un-reseau-de-mules-demantele-627-capsules-de-cocaine-saisies/
Meurtre d’un chauffeur de taxi à Kairouan lors d’un braquage;2;Marouane Guedhami, Aghlabides, Fatnassi, Kairouan;21/12/2025;https://kapitalis.com/tunisie/2025/12/21/meurtre-dun-chauffeur-de-taxi-a-kairouan-lors-dun-braquage/
Trafic de drogue | Fin de cavale pour un dealer condamné à 20 ans;1;Mosaïque FM;19/12/2025;https://kapitalis.com/tunisie/2025/12/19/trafic-de-drogue-fin-de-cavale-pour-un-dealer-condamne-a-20-ans/
Tunis | Il tue son oncle en le percutant intentionnellement avec sa voiture !;2;Tunis;13/12/2025;https://kapitalis.com/tunisie/2025/12/13/tunis-il-tue-son-oncle-en-le-percutant-intentionnellement-avec-sa-voiture/
Médenine | Enquête pour meurtre après la découverte de deux corps sans vie;2;Béni Khédache, Médenine;11/12/2025;https://kapitalis.com/tunisie/2025/12/11/medenine-enquete-pour-meurtre-apres-la-decouverte-de-deux-corps-sans-vie/
Tunis | Cinq mandats de dépôt pour trafic de drogues et blanchiment d’argent;1;Tunis, Mosaïque FM, Tunisie;09/12/2025;https://kapitalis.com/tunisie/2025/12/09/tunis-cinq-mandats-de-depot-pour-trafic-de-drogues-et-blanchiment-dargent/
Institutrice violentée à Menzel Temime | Plainte contre une mère d’élève;4;Mosaïque FM;09/12/2025;https://kapitalis.com/tunisie/2025/12/09/une-institutrice-violentee-a-menzel-temime-plainte-contre-une-mere-deleve/
Menzel Temime | Arrestation de 3 trafiquants de drogue;1;Cap Bon, Nabeul, Kelibia;09/12/2025;https://kapitalis.com/tunisie/2025/12/09/menzel-temime-arrestation-de-3-trafiquants-de-drogue/
Braquage à Kairouan | Un mineur arrêté;3;Sabra FM, Kairouan;08/12/2025;https://kapitalis.com/tunisie/2025/12/08/un-chauffeur-de-taxi-victime-dun-braquage-a-kairouan-un-mineur-arrete/
Plus de 420 kg de cannabis saisis | Un réseau international démantelé;1;Tunisie;04/12/2025;https://kapitalis.com/tunisie/2025/12/04/plus-de-420-kg-de-cannabis-saisis-un-reseau-international-demantele/
Trafic de drogue | Des peines allant jusqu’à 30 ans de prison;1;Tunis, La Goulette, Tunisie, Europe, Tunisiens;27/11/2025;https://kapitalis.com/tunisie/2025/11/27/trafic-de-drogue-des-peines-allant-jusqua-30-ans-de-prison/
Trafic d’ecstasy Gafsa | Trois dealers arrêtés;1;Tunis, Mosaïque FM, Gafsa;24/11/2025;https://kapitalis.com/tunisie/2025/11/24/trafic-decstasy-gafsa-trois-dealers-arretes/
Sousse | Démantèlement d’un réseau de trafic de drogue à Sahloul;1;District de sécurité de la ville de Sousse, Sahoul;24/11/2025;https://kapitalis.com/tunisie/2025/11/24/sousse-demantelement-dun-reseau-de-trafic-de-drogue-a-sahloul/
Série de voitures brûlées à Tunis | Un suspect arrêté;2;Tunis, Jebel Jelloud, El Kabaria, Mosaïque FM;20/11/2025;https://kapitalis.com/tunisie/2025/11/20/serie-de-voitures-brulees-a-tunis-un-suspect-arrete/
Une femme écope de 20 ans de prison pour trafic d’héroïne;1;Tunis, aéroport de Tunis-Carthage;15/11/2025;https://kapitalis.com/tunisie/2025/11/15/une-femme-ecope-de-20-ans-de-prison-pour-trafic-dheroine/
Trafic de drogue à Tunis | Saisie de 18500 comprimés de stupéfiants;1;Tunis, Carthage, Mosaïque FM;14/11/2025;https://kapitalis.com/tunisie/2025/11/14/trafic-de-drogue-a-tunis-saisie-de-18500-comprimes-de-stupefiants/
Élève agressée à Sidi Hassine | Quatre jeunes filles arrêtées;4;Mosaïque FM, Sidi Hassine;12/11/2025;https://kapitalis.com/tunisie/2025/11/12/eleve-agressee-a-sidi-hassine-quatre-jeunes-filles-arretees/
Trafic de cocaïne à Bizerte | Quatre suspects arrêtés;1;Bizerte, Afrique subsaharienne, Tunis;08/11/2025;https://kapitalis.com/tunisie/2025/11/08/trafic-de-cocaine-a-bizerte-quatre-suspects-arretes/
Tunis | Quatre individus arrêtés pour trafic de stupéfiants en milieu scolaire;1;Tunis;03/11/2025;https://kapitalis.com/tunisie/2025/11/03/tunis-quatre-individus-arretes-pour-trafic-de-stupefiants-en-milieu-scolaire/
Nabeul | Saisie de 15.000 comprimés de stupéfiant;1;Bou Argoub, Nabeul;01/11/2025;https://kapitalis.com/tunisie/2025/11/01/trafic-de-drogue-a-nabeul-saisie-de-15-000-comprimes-de-stupefiant/
Gafsa | Démantèlement d’un réseau international de trafic de voitures;1;Jawhara FM, Tunisie, Gafsa, Tunisiens;01/11/2025;https://kapitalis.com/tunisie/2025/11/01/vols-et-trafic-de-voitures-a-gafsa-demantelement-dun-reseau-international/
Meurtre à Mahdia | Arrestation de 5 membres de la famille de la victime;2;Mahdia, Mosaïque FM;31/10/2025;https://kapitalis.com/tunisie/2025/10/31/meurtre-a-mahdia-arrestation-de-5-membres-de-la-famille-de-la-victime/
Tunisie | Trafic de stupéfiants dans des bouteilles d’oxygène;1;Gabès, Prégabaline, Tunisie, Médenine;29/10/2025;https://kapitalis.com/tunisie/2025/10/29/tunisie-trafic-de-stupefiants-dans-des-bouteilles-doxygene/
Trois Subsahariens condamnés pour meurtre à Bhar Lazreg;2;Africains, La Marsa, Bhar Lazreg, Tunis;28/10/2025;https://kapitalis.com/tunisie/2025/10/28/trois-subsahariens-condamnes-pour-meurtre-a-bhar-lazreg/
Tunis | Arrestation d’un dangereux braqueur;2;Tunis, Jebel;27/10/2025;https://kapitalis.com/tunisie/2025/10/27/tunis-arrestation-dun-dangereux-braqueur/
Meurtre à la Marsa | Un suspect arrêté et placé en détention;2;Tunis, Marsa, Mosaïque FM, Bhar Lazreg, Jebel Lahmar;24/10/2025;https://kapitalis.com/tunisie/2025/10/24/meurtre-a-la-marsa-un-suspect-arrete-et-place-en-detention/
Agression à l’arme blanche à Ras Jebel | Six lycéens arrêtés;1;Jebel|Tunisie|violence, Ras Jebel;09/10/2025;https://kapitalis.com/tunisie/2025/10/09/agression-a-larme-blanche-a-ras-jebel-six-lyceens-arretes/
Trafic de stupéfiants | 25.000 comprimés saisis par la PJ de l’Ariana;1;Tunis, Ariana Ariana|police, Mosaïque FM, Ariana, Prégabaline, drogue|Tunis|Tunisie;07/10/2025;https://kapitalis.com/tunisie/2025/10/07/trafic-de-stupefiants-25-000-comprimes-saisis-par-la-pj-de-lariana/
Trafic de drogue | Une étrangère condamnée à 20 ans de prison à Tunis;1;Tunis Port, La Goulette, Tunis, drogue|Tunis|Tunisie;06/10/2025;https://kapitalis.com/tunisie/2025/10/06/trafic-de-drogue-une-etrangere-condamnee-a-20-ans-de-prison-a-tunis/
Trafic de cocaïne | Un réseau démantelé à l’Ariana;1;Tunis, Mosaïque FM, Ariana Ariana|cocaïne|drogue|réseau|trafic|Tunis|Tunisie, Ariana, El-Gorjani;29/09/2025;https://kapitalis.com/tunisie/2025/09/29/trafic-de-cocaine-un-reseau-demantele-a-lariana/
Saisie de 400 kg de cannabis dans un port de Sousse;1;Sousse, Laouina;28/09/2025;https://kapitalis.com/tunisie/2025/09/28/saisie-de-400-kg-de-cannabis-dans-un-port-de-sousse/
Un dealer arrêté près d’un établissement scolaire à Menzel Bourguiba;1;Bizerte, Menzel Bourguiba;28/09/2025;https://kapitalis.com/tunisie/2025/09/28/un-dealer-arrete-pres-dun-etablissement-scolaire-a-menzel-bourguiba/
Braquages visant des femmes | Un suspect arrêté à Tunis;3;Tunis, El-Menzah, Mosaïque FM, El Menzah;27/09/2025;https://kapitalis.com/tunisie/2025/09/27/braquages-visant-des-femmes-un-suspect-arrete-a-tunis/
Un réseau international démantelé | Arme à feu, or, argent et cannabis saisis;1;département de l’Intérieur, Sousse 1;27/09/2025;https://kapitalis.com/tunisie/2025/09/27/un-reseau-international-demantele-arme-a-feu-or-argent-et-cannabis-saisis/
Saisie de 400 kg de cannabis dans un port de Sousse;1;Sousse, Laouina;28/09/2025;https://kapitalis.com/tunisie/2025/09/28/saisie-de-400-kg-de-cannabis-dans-un-port-de-sousse/
Un dealer arrêté près d’un établissement scolaire à Menzel Bourguiba;1;Bizerte, Menzel Bourguiba;28/09/2025;https://kapitalis.com/tunisie/2025/09/28/un-dealer-arrete-pres-dun-etablissement-scolaire-a-menzel-bourguiba/
Braquages visant des femmes | Un suspect arrêté à Tunis;3;Tunis, El-Menzah, Mosaïque FM, El Menzah;27/09/2025;https://kapitalis.com/tunisie/2025/09/27/braquages-visant-des-femmes-un-suspect-arrete-a-tunis/
Un réseau international démantelé | Arme à feu, or, argent et cannabis saisis;1;département de l’Intérieur, Sousse 1;27/09/2025;https://kapitalis.com/tunisie/2025/09/27/un-reseau-international-demantele-arme-a-feu-or-argent-et-cannabis-saisis/
Trafic de cocaïne | Un réseau démantelé à El-Mourouj;1;Tunis, El-Mourouj, El Mourouj, Mosaïque FM;23/09/2025;https://kapitalis.com/tunisie/2025/09/23/trafic-de-cocaine-un-reseau-demantele-a-el-mourouj/
Braquage dans un bureau de change à Borj Louzir | Un suspect arrêté;3;change|Tunis|Tunisie, Borj Louzir, Ariana, Mosaïque FM;20/09/2025;https://kapitalis.com/tunisie/2025/09/20/braquage-dans-un-bureau-de-change-a-borj-louzir-un-suspect-arrete/
Ariana | Braquage dans un bureau de change à Borj Louzir;3;Tunis, Mosaïque FM, Borj Louzir, Borj Louzir Borj Louzir|braquage|bureau, Ariana;19/09/2025;https://kapitalis.com/tunisie/2025/09/19/ariana-braquage-dans-un-bureau-de-change-a-borj-louzir/
La Goulette | Un voyageur arrêté avec 15 plaques de cannabis;1;Goulette|port|Rome|Tunisie, port de Rome, Tunis, La Goulette;17/09/2025;https://kapitalis.com/tunisie/2025/09/17/la-goulette-un-voyageur-arrete-avec-15-plaques-de-cannabis/
Braquage d’une banque à Boumhel | Le suspect principal en détention;3;Tunis, Mosaïque FM, Boumhel;15/09/2025;https://kapitalis.com/tunisie/2025/09/15/braquage-dune-banque-a-boumhel-le-suspect-principal-en-detention/
Un forcené tunisien abattu à Marseille;2;France, Marseille, quartier Belsunce, Bessone|Tunisien;03/09/2025;https://kapitalis.com/tunisie/2025/09/03/un-forcene-tunisien-abattu-a-marseille/
Réseau de cocaïne et d’ecstasy démantelé en Tunisie (Vidéo);1;La Goulette, Tunis, Tunisie, Mahdia, département de l’Intérieur;30/08/2025;https://kapitalis.com/tunisie/2025/08/30/tunisie-cocaine-ecstasy-un-reseau-international-demantele-video/
Kasserine | Une femme arrêtée pour le meurtre présumé de sa voisine;2;Kasserine, procureur de la République;30/08/2025;https://kapitalis.com/tunisie/2025/08/30/kasserine-une-femme-arretee-pour-le-meurtre-presume-de-sa-voisine/
Enquête à Douar Hicher | Un homme retrouvé mort chez lui;2;Douar;29/08/2025;https://kapitalis.com/tunisie/2025/08/29/enquete-a-douar-hicher-un-homme-retrouve-mort-chez-lui/
Tunis | Voitures caillassées à Ibn Sina : Huit suspects arrêtés;2;Tunis, Mosaïque FM, Sina|jets;28/08/2025;https://kapitalis.com/tunisie/2025/08/28/tunis-voitures-caillassees-a-ibn-sina-huit-suspects-arretes/
Sousse | Enquête sur le meurtre d’un migrant subsaharien;2;Afrique subsaharienne, Sousse, subsaharienne|migrant|Sousse, Sousse-ville, Sousse 1;25/08/2025;https://kapitalis.com/tunisie/2025/08/25/sousse-enquete-sur-le-meurtre-dun-migrant-subsaharien/
Meurtre à Laouina | Trois mandats de dépôt, l’enquête se poursuit;2;Tunis, Laouina;09/08/2025;https://kapitalis.com/tunisie/2025/08/09/meurtre-a-laouina-trois-mandats-de-depot-lenquete-se-poursuit/
Les dessous de la libération de Mohamed Ali Al-Bouzidi;1;Mahdia, Sahel, district de la Sûreté nationale de Nabeul;08/08/2025;https://kapitalis.com/tunisie/2025/08/08/les-dessous-de-la-liberation-de-mohamed-ali-al-bouzidi/
Arrêtée avec 4 kg de cocaïne, une étrangère condamnée à 12 ans ferme;1;Tunis, port de la Goulette, cocaïne|Port;04/08/2025;https://kapitalis.com/tunisie/2025/08/04/arretee-avec-4-kg-de-cocaine-une-etrangere-condamnee-a-12-ans-ferme/
Un homme attaqué par 9 chiens à Gabès | Le propriétaire placé en garde à vue;2;blessures|chiens|Gabès|pitbulls|Tunisie, Gabès, hôpital régional de Gabès, Mosaïque FM;29/07/2025;https://kapitalis.com/tunisie/2025/07/29/un-homme-attaque-par-9-chiens-a-gabes-le-proprietaire-place-en-garde-a-vue/
Tunisie | Le rappeur A.L.A visé par un mandat de dépôt;1;Mosaïque FM, A.L.A|drogue|mandat, Tunisie;28/07/2025;https://kapitalis.com/tunisie/2025/07/28/tunisie-le-rappeur-a-l-a-vise-par-un-mandat-de-depot/
Tunisie | Le rappeur A.L.A de nouveau arrêté pour possession de drogue;1;Tataouine, A.L.A|cannabis|Tataouine, Tunisie;26/07/2025;https://kapitalis.com/tunisie/2025/07/26/tunisie-le-rappeur-a-l-a-de-nouveau-arrete-pour-possession-de-drogue/
Douane tunisienne | Saisie de 43 kg de cocaïne à Sfax (Vidéo);1;Skhira, Regueb, Sfax;01/07/2025;https://kapitalis.com/tunisie/2025/07/01/douane-tunisienne-saisie-de-43-kg-de-cocaine-a-sfax-video/
Ghardimaou | Une voyageuse arrêtée avec 3800 comprimés de stupéfiants;1;Jendouba, Ghardimaou, Douane tunisienne;30/06/2025;https://kapitalis.com/tunisie/2025/06/30/ghardimaou-une-voyageuse-arretee-avec-3800-comprimes-de-stupefiants/
Deux étrangers condamnés à 40 ans ferme pour trafic international de drogue;1;Tunis;28/06/2025;https://kapitalis.com/tunisie/2025/06/28/deux-etrangers-condamnes-a-40-ans-ferme-pour-trafic-international-de-drogue/
Meurtre à Monastir | Un homme brûlé vif par son épouse pendant son sommeil !;2;Monastir, Mosaïque FM;25/06/2025;https://kapitalis.com/tunisie/2025/06/25/meurtre-a-monastir-un-homme-brule-vif-par-son-epouse-pendant-son-sommeil/
Ras Jedir | Douane : Saisie de 22.000 comprimés d’ecstasy et 2,2 kg de cocaïne;1;;23/06/2025;https://kapitalis.com/tunisie/2025/06/23/ras-jedir-douane-saisie-de-22-000-comprimes-decstasy-et-22-kg-de-cocaine/
Meurtre de l’avocate Mongia Mannai | Le fils arrêté en Allemagne;2;Tunis, Mosaïque FM, procureur de la, Tunisie, Allemagne, La Manouba, République, Manouba;18/06/2025;https://kapitalis.com/tunisie/2025/06/18/meurtre-de-lavocate-mongia-mannai-le-fils-arrete-en-allemagne/
Port de la Goulette | Un voyageur arrêté avec 10.000 comprimés d’ecstasy;1;port de la Goulette, Tunis, Tunisie, Port de la Goulette, Marseille;04/06/2025;https://kapitalis.com/tunisie/2025/06/04/port-de-la-goulette-un-voyageur-arrete-avec-10-000-comprimes-decstasy/
Un Tunisien victime d’un crime raciste en France;2;Puget-sur-Argens, France, Var, B.(agences, Tunisien, Draguignan;02/06/2025;https://kapitalis.com/tunisie/2025/06/02/un-tunisien-victime-dun-crime-raciste-en-france/
Trafic de cocaïne à Tunis | Trois étrangers condamnés à 21 ans ferme;1;Tunis, La Goulette;24/05/2025;https://kapitalis.com/tunisie/2025/05/24/trafic-de-cocaine-a-tunis-trois-etrangers-condamnes-a-21-ans-ferme/
Décès de Abir Jebali par balle au Kef │ Meurtre ou suicide ?;2;Haouami, Bayadh, Kef, Yousri Haouami;24/05/2025;https://kapitalis.com/tunisie/2025/05/24/deces-de-abir-jebali-par-balle-au-kef-%e2%94%82-meurtre-ou-suicide/
La Goulette | Saisie de 5.000 comprimés d’ecstasy dissimulés dans un jouet !;1;La Goulette, Gênes, Italie, Tunis;23/05/2025;https://kapitalis.com/tunisie/2025/05/23/la-goulette-saisie-de-5-000-comprimes-decstasy-dissimules-dans-un-jouet/
Douane | Saisie de 2.5 kg de marijuana à l’aéroport de Tunis-Carthage;1;aéroport de Tunis-Carthage aéroport|contrebande|douane, aéroport international de Tunis-Carthage, Carthage|Tunisie;22/05/2025;https://kapitalis.com/tunisie/2025/05/22/douane-saisie-de-2-5-kg-de-marijuana-a-laeroport-de-tunis-carthage/
Trafic de drogue à La Marsa | Arrestation d’un dealer lié à un réseau international;1;La Marsa;16/05/2025;https://kapitalis.com/tunisie/2025/05/16/trafic-de-drogue-a-la-marsa-arrestation-dun-dealer-lie-a-un-reseau-international/
Saisie massive de cannabis & d’ecstasy | Deux réseaux internationaux démantelés à Ben Arous;1;Mornag, Tunisie, Hammam-Lif, Boumhal;15/05/2025;https://kapitalis.com/tunisie/2025/05/15/saisie-massive-de-cannabis-decstasy-deux-reseaux-internationaux-demanteles-a-ben-arous/
Trafic de drogue | Des peines de 15 à 20 ans pour des membres d’un réseau international;1;La Goulette, arrêtéS, Tunis;13/05/2025;https://kapitalis.com/tunisie/2025/05/13/trafic-de-drogue-des-peines-de-15-a-20-ans-pour-des-membres-dun-reseau-international/
De nouveaux témoins entendus dans l’affaire du meurtre de Me Mongia Mannai;2;Tunis, La Manouba, Manouba;09/05/2025;https://kapitalis.com/tunisie/2025/05/09/de-nouveaux-temoins-entendus-dans-laffaire-du-meurtre-de-me-mongia-mannai/
El-Menzah 6 | Un individu arrêté pour harcèlement et menace d’une femme avec une arme blanche;3;El Menzah 6, Ariana, El-Menzah, Ras Tabia;06/05/2025;https://kapitalis.com/tunisie/2025/05/06/el-menzah-6-un-individu-arrete-pour-harcelement-et-menace-dune-femme-avec-une-arme-blanche/
Tunis | Un ado de 16 ans condamné à 5 ans de prison pour meurtre;2;Tunis, gouvernorat de Manouba, Douar;05/05/2025;https://kapitalis.com/tunisie/2025/05/05/tunis-un-ado-de-16-ans-condamne-a-5-ans-de-prison-pour-meurtre/
La Marsa | Arrestation d’un dealer de cocaïne opérant à Gammarth;1;Tunis, La Marsa, Gammarth;04/05/2025;https://kapitalis.com/tunisie/2025/05/04/la-marsa-arrestation-dun-dealer-de-cocaine-operant-a-gammarth/
Sousse | Retour sur le meurtre d’un jeune homme à Akouda (DGSN);2;Sousse | Retour sur le meurtre, Sousse-nord, Akouda|crime|meurtre|Sousse|Tunisie;02/05/2025;https://kapitalis.com/tunisie/2025/05/02/sousse-retour-sur-le-meurtre-dun-jeune-homme-a-akouda-dgsn/
L’auteur présumé du meurtre d’Akouda arrêté à Tunis;2;Tunis, Sahloul, Sousse 2, district de Sousse;01/05/2025;https://kapitalis.com/tunisie/2025/05/01/lauteur-presume-du-meurtre-dakouda-arrete-a-tunis/
Trafic de cocaïne | Un dealer arrêté à Kairouan;1;Kairouan;29/04/2025;https://kapitalis.com/tunisie/2025/04/29/trafic-de-cocaine-un-dealer-arrete-a-kairouan/
Du nouveau sur le meurtre de l’avocate Mongia Mannai à Manouba;2;Tunis, Chabaou, El Omrane, Oued Ellil, Manouba, cimetière Sidi Yahia;29/04/2025;https://kapitalis.com/tunisie/2025/04/29/du-nouveau-sur-le-meurtre-de-lavocate-mongia-mannai-a-manouba/
Avocate tuée à La Manouba | Trois suspects arrêtés;2;La Manouba, Mosaïque FM, La Manouba | Trois suspects, procureur de la République;28/04/2025;https://kapitalis.com/tunisie/2025/04/28/avocate-tuee-a-la-manouba-trois-suspects-arretes/
Arrestation d’un couple de trafiquants de drogue à Kairouan;1;République, Kairouan;28/04/2025;https://kapitalis.com/tunisie/2025/04/28/arrestation-dun-couple-de-trafiquants-de-drogue-a-kairouan/
France | Meurtre dans une mosquée du Gard;2;France, département du Gard, la France, Gard, du Gard, Lyon, Paris, La Grand-Combe;28/04/2025;https://kapitalis.com/tunisie/2025/04/28/france-meurtre-dans-une-mosquee-du-gard/
Une avocate tuée et brûlée à Manouba;2;Tunis, Manouba, hôpital Charles-Nicole de Tunis;27/04/2025;https://kapitalis.com/tunisie/2025/04/27/une-avocate-tuee-et-brulee-a-manouba/
