titre;categorie;lieux_extraits;date;url
Trafic d’ecstasy en famille : Une mère et son fils arrêtés à El-Ouardia;1;Tunis, El-Ouardia;08/08/2024;https://kapitalis.com/tunisie/2024/08/08/trafic-decstasy-en-famille-une-mere-et-son-fils-arretes-a-el-ouardia/
Hammamet : Un couple et son complice arrêtés pour trafic de drogue;1;Hammamet, drogue|Hammamet|stupéfiants|trafic;07/08/2024;https://kapitalis.com/tunisie/2024/08/07/hammamet-un-couple-et-son-complice-arretes-pour-trafic-de-drogue/
Démantèlement d’un réseau de trafic de drogue : Un homme et son épouse arrêtés;1;département de l’Intérieur, Sidi Thabet, Jendouba;06/08/2024;https://kapitalis.com/tunisie/2024/08/06/demantelement-dun-reseau-de-trafic-de-drogue-un-homme-et-son-epouse-arretes/
"Tentative de meurtre au Kram : Un suspect arrêté; son complice recherché";2;Kram, La Goulette, meurtre|Tunis|Tunisie, Carthage-Byrsa, Carthage, Karm Ouest;04/08/2024;https://kapitalis.com/tunisie/2024/08/04/tentative-de-meurtre-au-kram-un-suspect-arrete-son-complice-recherche/
Retour sur le drame de Zahrouni, où un individu a tué son épouse et sa fille !;2;Séjoumi;02/08/2024;https://kapitalis.com/tunisie/2024/08/02/retour-sur-le-drame-de-zahrouni-ou-un-individu-a-tue-son-epouse-et-sa-fille/
Tunis : Garde à vue pour un homme accusé d’un double meurtre à Séjoumi;2;Tunis, Garde, affirmeMosaïque FM, Séjoumi, Zahrouni;02/08/2024;https://kapitalis.com/tunisie/2024/08/02/tunis-garde-a-vue-pour-un-homme-accuse-dun-double-meurtre-a-sejoumi/
Ezzahra : Arrestation d’un élève de 18 ans pour trafic de cocaïne;1;Tunis, Ezzahra;02/08/2024;https://kapitalis.com/tunisie/2024/08/02/ezzahra-arrestation-dun-eleve-de-18-ans-pour-trafic-de-cocaine/
Féminicide effroyable à Ben Arous : Le tueur arrêté (DGGN);2;;01/08/2024;https://kapitalis.com/tunisie/2024/08/01/feminicide-effroyable-a-ben-arous-le-tueur-arrete-dggn/
Tunis : arrestation d’un trafiquant de drogue à la Marsa;1;Tunis, Marsa, Sidi Abdelaziz, Marsa Marsa|plage de Sidi;31/07/2024;https://kapitalis.com/tunisie/2024/07/31/tunis-arrestation-dun-trafiquant-de-drogue-a-la-marsa/
Nermine Sfar se dit victime d’une tentative de détournement à l’arme blanche;2;Bardo, Egypte, Tunisienne, Ksar Saïd, gouvernorat de Manouba;30/07/2024;https://kapitalis.com/tunisie/2024/07/30/nermine-sfar-se-dit-victime-dune-tentative-de-detournement-a-larme-blanche/
