governorate,last_actual_price,forecast_12m_price,forecast_12m_pct_change,trend_direction
Sousse,2676.6233766233768,3459.698009405434,29.256063427568357,hausse
Ben Arous,2000.0,2225.27800600249,11.26390030012451,hausse
Ariana,3051.470588235294,3123.0744805878726,2.3465371951688354,stable
Tunis,3346.448818897638,3264.707884392808,-2.4426172019495116,stable
Monastir,3516.4835164835163,3236.664130317515,-7.957363794095657,baisse
Nabeul,3693.9716312056735,3253.3383769943484,-11.92844174787306,baisse
Lac,5226.734656710982,4502.865719388164,-13.849353083064786,baisse
La Marsa,3543.3070866141734,2932.208121551787,-17.246570791760686,baisse
