governorate,last_actual_price,forecast_12m_price,forecast_12m_pct_change,trend_direction
Sousse,1538.4615384615386,2419.488360007843,57.26674340050978,hausse
Bizerte,1677.63773631996,2482.4740245372886,47.97437913996887,hausse
Ben Arous,1777.7777777777778,2545.8103689872905,43.201833255535085,hausse
La Marsa,3421.0526315789475,3531.63344117153,3.2323621265524167,stable
Tunis,2327.6912660798916,2354.6981882290656,1.160245026594822,stable
Ariana,2291.6666666666665,2170.6165178054025,-5.282188313946066,baisse
Nabeul,2665.3764954257567,2417.134838863444,-9.313568157756992,baisse
Medenine,2720.677966101695,2076.428687768286,-23.679733006274056,baisse
