governorate,last_actual_price,forecast_12m_price,forecast_12m_pct_change,trend_direction
Sousse,1960.0,3297.9871211583336,60.0,hausse
Tunis,2978.723404255319,2622.2363635505967,-11.967779223658539,baisse
La Marsa,4333.333333333333,3324.503961624019,-23.280677808676476,baisse
