governorate,last_actual_price,forecast_12m_price,forecast_12m_pct_change,trend_direction
Ben Arous,760.0,943.0128892801437,24.080643326334695,hausse
Tunis,1749.5029821073558,1985.7794070906082,13.50534565529272,hausse
Sousse,850.0,870.4170536222782,2.40200630850332,stable
Ariana,919.743935309973,927.5403843892606,0.8476760519937497,stable
Sfax,394.7388660872476,364.6505799250052,-7.622326744889635,baisse
Monastir,641.3301662707838,552.4962510662102,-13.85151048189833,baisse
Nabeul,1000.0,842.5569158023421,-15.744308419765787,baisse
La Marsa,2450.0,2011.4711220793367,-17.899137874312785,baisse
